Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	St_ID	Pressure [dBar]	QV:SEADATANET	Temperature, ITS-90 [degrees C]	QV:SEADATANET	Salinity [per mille]	QV:SEADATANET	DOW [µM]	QV:SEADATANET	Oxygen Saturation [%]	QV:SEADATANET	Oxygen, SBE 43 [mg/l]	QV:SEADATANET	Total Chl-a [µg/l]	QV:SEADATANET	pH	QV:SEADATANET	NH4 [µM]	QV:SEADATANET	NO2-N [µM]	QV:SEADATANET	NO3-N+NO2-N [µM]	QV:SEADATANET	PO4 [µM]	QV:SEADATANET	TP [µM]	QV:SEADATANET	TPP [µM]	QV:SEADATANET	Si [µM]	QV:SEADATANET	POC [µM]	QV:SEADATANET	PON [µM]	QV:SEADATANET	TSS [mg/l]	QV:SEADATANET	SD [m]	QV:SEADATANET	TRIX (Chem)	QV:SEADATANET	TRIX	QV:SEADATANET	QV:SEADATANET:SAMPLE
Cruise 1986-05	TU2(25)	B	1986-04-15T23:45:00	34.75694	36.50028	120	41106	0	1	18.66764	5	38.9794	5		9		9		9	0.12	1		9		9	0.31	1	6.77	2	0.72	1		9		9		9		9		9	0.95	1		9		9		9	0
								5	1	18.66562	1	38.9792	1		9		9		9		9		9		9	0.43	1	6.33	2	0.03	1		9		9		9		9		9		9		9		9		9	0
								15	1	18.57601	5	38.9804	5		9		9		9		9		9		9	0.13	1	4.94	2	0.06	1		9		9		9		9		9		9		9		9		9	0
								25	1	18.27463	5	38.9854	5		9		9		9		9		9		9	0.2	1	6.21	2	2.14	3		9		9		9		9		9		9		9		9		9	0
								50	1	17.45325	5	38.9919	5		9		9		9		9		9		9	0.26	1	16.21	3	0.03	1		9		9		9		9		9		9		9		9		9	0
								76	1	17.26585	1	39.0016	1		9		9		9		9		9		9	0.4	1		9	0.02	6		9		9		9		9		9		9		9		9		9	0
								101	1	17.11468	1	39.0059	1		9		9		9		9		9		9	0.41	1		9	0.03	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-05	TU3(20)	B	1986-04-16T02:00:00	35.00000	36.50000	65	41107	0	1	18.61565	5	38.9171	5		9		9		9	0.17	1		9		9	0.26	1		9	0.24	1		9		9		9		9		9	2.51	1		9		9		9	0
								15	1	18.39366	1	38.9619	1		9		9		9		9		9		9	0.18	1	2.96	1	0.18	1		9		9		9		9		9		9		9		9		9	0
								25	1	17.5838	1	39.0023	1		9		9		9		9		9		9	0.16	1	5.4	3	0.1	1		9		9		9		9		9		9		9		9		9	0
								50	1	17.2683	1	38.9976	1		9		9		9		9		9		9	0.33	1	8.23	3	0.04	1		9		9		9		9		9		9		9		9		9	0
Cruise 1986-05	TU4(15)	B	1986-04-16T04:13:00	35.25000	36.43333	60	41108	0	1	18.29904	5	38.9548	5		9		9		9	0.15	1		9		9	0.21	1	8.47	2	0.01	1		9		9		9		9		9	3.03	1		9		9		9	0
								5	1	18.2958	1	38.9558	1		9		9		9		9		9		9	0.42	1	6.61	2	0.05	1		9		9		9		9		9		9		9		9		9	0
								15	1	18.30597	1	38.9557	1		9		9		9		9		9		9	0.14	1		9	0.38	2		9		9		9		9		9		9		9		9		9	0
								25	1	17.95487	1	38.9627	1		9		9		9		9		9		9	0.37	1		9	0.23	1		9		9		9		9		9		9		9		9		9	0
