"Cruise";"Stations"
"BAP - Jun 2011";"T10,T46,T48"
"Cruise 1990-03";"G46R39"
"Cruise 1992-07";"M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-31,M-5,M-6,M-7,M-8,M-9"
"Cruise 1997-03";"G47R42"
"Cruise 2005-02";"14,15,6,7,8,9"
"Cruise 2005-04";"14,15,15A,6,7,8,9"
"Cruise 2005-06";"14,15,15A,6,7,8,9"
"Cruise 2005-07";"G36R42.50"
"Cruise 2005-08";"14,15,15A,6,7,8,9"
"Cruise 2006-01";"14,15,15A,6,7,8,9"
"Cruise 2006-02";"14,15,15A,6,7,8,9"
"Cruise 2007-01";"M14,M15,M6,M7,M8,M9"
"Cruise 2007-02";"14,15,6,7,8,9"
"Cruise 2007-03";"14,15,15a,6,7,8,9"
"Cruise 2007-09";"14,15,15A,6,7,8,9"
"Cruise 2007-10";"13,15"
"Cruise 2008-01";"medpol14,medpol15,medpol6,medpol7,medpol8,medpol9"
"Cruise 2008-02";"medpol14,medpol15,medpol7,medpol8,medpol9"
"Cruise 2008-02, Leg2";"medpol06,medpol07,medpol08,medpol09,medpol14,medpol15"
"Cruise 2008-03, Leg1";"medpol14/taral13,medpol15,medpol6/taral12,medpol7,medpol8/taral16,medpol9/taral17"
"Cruise 2008-03, Leg2";"taral09,taral10,taral14,taral46"
"DIPTAR April-2014";"DT1-T16,DT2,DT5-T17,DT6-T12,LI-18,LI-21,LI-22,LI-3"
"DIPTAR August 2015";"EUTMR6 (MERSW),MRSYB6"
"DIPTAR February 2016";"EUTMR6"
"DIPTAR Sep-2014";"DT-35"
"DIPTAR Sep-Oct-2014";"EUTMR6/MERSWR"
"MEDPOL-DIPTAR March 2015";"EUTMR6 (MERSWR)"
"MEDPOL-TARAL - Feb 2009";"G23R42 (T48),G31R42 (T46),G37R42 (T10),G41R40 (T9),G42R42 (T14),MEDPOL14(G44R40)(T13,MEDPOL15,MEDPOL15A,MEDPOL6(G46R39)(T12),MEDPOL7,MEDPOL8 (T16),MEDPOL9(G46R40)(T17)"
"MEDPOL-TARAL - Jan 2009";"M15,M15A,M7,T10,T12(M6),T13 (M14),T14,T16(M8),T17(M9),T46,T48"
"Mersin bay - Rhodes, Jul 2012";"21,22,23,26,27"
"Mersin bay - Rhodes, Mar 2013";"21,22,23,24,25,26,27"
"Mersin bay - Rhodes, May 2013";"21,22,23,26,27,30"
"Mersin bay - Rhodes, Sep 2012";"21,23,25,27"
"Mersin Bay May 1992";"M-10,M-11,M-12,M-13,M-16,M-17,M-26,M-27,M-31,M-32,M-34,M-35,M-5,M-6,M-7,M-8,M-9"
"MIP April 2015";"G42R42"
"Monitoring, Aug 2016";"M-EK2,MERSWR,MRSYB6"
"Monitoring, Aug 2017";"M-EK2,MER-2"
"Monitoring, Aug 2018";"M-EK2,MER-1,MER-2,MERSWR"
"Monitoring, Feb 2018";"M-EK2,MER-1,MER-2"
"Monitoring, Feb 2019";"M-EK2,MER-2,MERSWR"
"TARAL-MAM - May 2009, Leg 1";"M15"
"TARAL-MEDPOL - Mar 2009";"G23R42 (T48),G31R42 (T46),G37R42 (T10),G42R42 (T14),Medpol14/T13,Medpol15,Medpol15a,Medpol6/T12,Medpol7,Medpol8/T16,Medpol9/T17"
"TARAL-PRODUCTION - Jul 2010";"G23R42(T48),G31R42(T46),G37R42(T10),G44R40(T13),G46R40(T17-M9),G470R395(T16)"
"TARAL - Apr 2009";"G23R42 (T48),G37R42 (T10),G42R42 (T14),G46R39 (M6) (T12),G46R40 (M9) (T17),G47R39 (M8) (T16),M14(G44R40) (T13),M15,M15-A,M7"
"TARAL - Apr 2010";"G23R42(T48),G31R42(T46),G37R42(T10),G41R40(T9-M15),G42R42(T14),G44R40(T13),G46R39(T12),G46R40(T17),G47R39(T16)"
"TARAL - Aug 2009";"G23R42(T48),G37R41(T10),G42R42(T14),M14(G44R40-T13),M15,M15A,M6(G46R40-T12),M7,M8(G46R39-T16),M9(G46R40-T17)"
"TARAL - Feb 2009";"MEDPOL15,MEDPOL6(G46R40)"
"TARAL - Feb 2010";"G23R42(T48),G31R42(T46),G37R42(T10),G41R40(T9-M15),G42R42(T14),G44R40(T13),G46R39(T12),G46R40(T17),G47R39(T16)"
"TARAL - Feb 2011";"T17 med9,T9 - med15,TARAL-10 cast2,TARAL-13,TARAL-16,TARAL-46 cast2,TARAL-48,TARAL-5,TARAL-8"
"TUBITAK-TARAL (SINHA)  - Aug 2009";"M15"
"UNLUATA Cruises: Cilician Basin";"G23R42,medpol 14,medpol 15,medpol 6,medpol 7,medpol 8,medpol 9"
